,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
204,963,972,17,1,1,0,2,0,0,0,0,0,-82400000000,49000000000,33400000000,0,0,0,0,0,0,0,4,243,26.8547945205,1005,4115,-0.006999999999999999,25,-1,0.705,0.71,-0.005,0.01,20365,17373,5372,243,-0.06749230769999999,-0.0667184203,0,0
62,350,355,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,143,11.597260274000002,2011,6069,0.001,10,25,0.115,0.12,-0.005,0.006,9149,8257,5160,143,0.0,0.01,2,0
80,442,447,26,0,0,0,2,0,1,0,0,0,-200000000,0,0,0,0,0,200000000,0,0,0,3,155,12.7917808219,2017,5475,-0.006999999999999999,10,25,0.165,0.17,-0.005,-0.005,11643,10070,2390,155,-0.1,0.0099967412,2,0
209,997,1006,2,0,0,0,2,1,0,0,0,0,5000000000,0,0,0,-4000000000,-1000000000,0,0,0,0,3,236,27.556164383600002,1003,2379,-0.004,25,-1,0.705,0.715,-0.01,-0.005,22809,18373,14100,236,-0.01,0.0081974249,2,0
134,672,678,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,232,15.298630137,2017,5475,-0.006999999999999999,10,25,0.29,0.295,-0.005,-0.005,38089,32913,7222,232,-0.0836363636,0.0078095238,0,0
468,2184,2196,7,2,0,0,0,0,0,0,0,0,-40900000000,40900000000,0,0,0,0,0,0,0,0,7,43,6.8465753425,4510,12335,0.002,5,10,-0.076,-0.075,-0.001,-0.005,5989,5989,4830,43,0.0,0.01,0,0
15,128,132,2,0,0,0,1,0,0,0,0,0,-500000000,0,0,0,500000000,0,0,0,0,0,15,148,19.0684931507,2019,7279,0.003,10,25,0.46,0.455,0.005,-0.02,6553,5998,939,148,-0.0784357542,0.01,2,0
219,1027,1036,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,28.306849315100003,1003,2379,-0.004,25,-1,0.72,0.73,-0.01,-0.005,27389,21829,20300,66,-0.085,0.009955040200000001,2,0
299,1445,1457,2,0,0,0,3,1,0,0,0,0,0,0,0,0,-4000000000,4000000000,0,0,0,0,13,127,1.3260273973,2805,12807,0.009000000000000001,1,3,-0.175,-0.17,-0.005,-0.01,27192,24660,14690,127,0.005,0.0096573876,0,0
277,1338,1350,1,0,0,0,11,12,0,0,0,0,900000000,0,0,0,1700000000,-2600000000,0,0,0,0,7,38,1.8273972603,2804,11013,0.006999999999999999,1,3,-0.18,-0.185,0.005,0.005,23738,20875,9099,38,-0.09271493210000001,0.00187,0,0
265,1201,1212,2,0,0,0,3,1,0,0,0,0,0,0,0,0,500000000,-500000000,0,0,0,0,15,107,1.3068493151,2801,8916,0.006,1,3,-0.165,-0.165,0.0,-0.001,58521,51923,18031,107,-0.08,0.0096797719,1,0
35,209,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,22.8,2017,5475,-0.006999999999999999,10,25,0.575,0.585,-0.01,-0.005,24842,22076,2787,73,-0.08,0.01,2,0
236,1076,1085,3,3,0,1,15,17,0,0,0,0,-11900000000,37100000000,0,-9000000000,-9700000000,-6500000000,0,0,0,0,2,131,29.835616438400002,1003,2812,-0.01,25,-1,0.8,0.795,0.005,-0.01,8489,7232,5655,131,-0.059753877300000015,0.0086134952,0,0
