,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
729,735,6,0,0,0,0,2,3,0,0,0,500000000,0,0,0,0,-500000000,0,0,0,0,2017-06-07,SL-146,16.301369862999998,2017,5475,-0.006999999999999999,10,25,0.34,0.345,-0.005,-0.006,37907,32823,17231,SL-146,-0.069600639,0.0099041315,up,down
730,736,6,0,0,0,0,2,3,0,0,0,500000000,0,0,0,0,-500000000,0,0,0,0,2017-06-07,SL-146,16.301369862999998,2017,5475,-0.006999999999999999,10,25,0.34,0.345,-0.005,-0.006,37907,32823,17231,SL-146,-0.069600639,0.0099041315,up,down
731,737,2,1,0,0,1,0,2,0,0,0,2500000000,-2000000000,0,0,-500000000,0,0,0,0,0,2017-05-31,SL-146,16.3205479452,2019,7279,0.003,10,25,0.34,0.336,0.004,-0.019,37907,32823,17231,SL-146,-0.079375,0.0090909091,up,down
732,738,5,0,0,0,11,4,0,0,0,0,3500000000,0,0,0,-2000000000,-1500000000,0,0,0,0,2017-05-26,SL-147,16.5835616438,2006,4580,-0.01,10,25,0.365,0.36,0.005,-0.005,38895,32849,22345,SL-147,-0.013333333300000002,0.0097951131,up,up
733,739,2,0,0,0,10,0,0,0,0,0,3500000000,0,0,0,-3500000000,0,0,0,0,0,2017-05-19,SL-147,16.602739726,2011,6069,0.001,10,25,0.38,0.385,-0.005,0.005,38895,32849,22345,SL-147,-0.09,0.0092943252,up,up
734,740,2,5,0,0,6,3,5,0,0,0,3300000000,2500000000,0,0,-4200000000,-1600000000,0,0,0,0,2017-05-12,SL-147,16.6219178082,2013,3930,0.003,10,25,0.385,0.38,0.005,0.01,38895,32849,22345,SL-147,-0.01,0.0099742912,up,up
738,744,2,0,0,0,4,0,0,0,0,0,-100000000,0,0,0,100000000,0,0,0,0,0,2017-06-09,SL-147,16.5452054795,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,38895,32849,22345,SL-147,-0.01,-0.00585932,up,down
739,745,1,0,0,0,7,2,4,0,0,0,-2800000000,0,0,0,1200000000,1100000000,500000000,0,0,0,2017-06-07,SL-147,16.5506849315,2017,5475,-0.006999999999999999,10,25,0.355,0.36,-0.005,-0.006,38895,32849,22345,SL-147,-0.065,-0.00252574,up,down
740,746,1,0,0,0,7,2,4,0,0,0,-2800000000,0,0,0,1200000000,1100000000,500000000,0,0,0,2017-06-07,SL-147,16.5506849315,2017,5475,-0.006999999999999999,10,25,0.355,0.36,-0.005,-0.006,38895,32849,22345,SL-147,-0.065,-0.00252574,up,down
741,747,2,0,0,0,3,3,2,0,0,0,-1000000000,0,0,0,0,1000000000,0,0,0,0,2017-05-31,SL-147,16.569863013699997,2019,7279,0.003,10,25,0.355,0.35100000000000003,0.004,-0.019,38895,32849,22345,SL-147,-0.07625000000000001,-0.1245774648,up,down
742,748,4,7,1,0,5,3,0,0,0,0,-47300000000,6400000000,42400000000,0,-1000000000,-500000000,0,0,0,0,2017-05-26,SL-148,16.8301369863,2006,4580,-0.01,10,25,0.38,0.375,0.005,-0.005,37440,32897,17385,SL-148,-0.0712318841,0.0082402913,up,up
743,749,19,7,0,0,0,0,0,0,0,0,-2700000000,2700000000,0,0,0,0,0,0,0,0,2017-05-19,SL-148,16.849315068499997,2011,6069,0.001,10,25,0.395,0.4,-0.005,0.005,37440,32897,17385,SL-148,-0.0660416667,-0.075,up,up
744,750,2,3,0,0,2,4,2,0,0,0,-6000000000,4900000000,0,0,3000000000,-3500000000,1600000000,0,0,0,2017-05-12,SL-148,16.8684931507,2013,3930,0.003,10,25,0.4,0.395,0.005,0.01,37440,32897,17385,SL-148,-0.0756382979,-0.079347685,up,down
750,756,2,3,0,0,3,2,4,0,0,0,-1000000000,1100000000,0,0,-100000000,0,0,0,0,0,2017-05-31,SL-148,16.8164383562,2019,7279,0.003,10,25,0.375,0.369,0.006,-0.016,37440,32897,17385,SL-148,-0.0701730104,0.008479895000000001,up,down
751,757,0,4,2,0,0,0,0,0,0,0,0,-1500000000,1500000000,0,0,0,0,0,0,0,2017-05-26,SL-149,17.0821917808,2006,4580,-0.01,10,25,0.395,0.39,0.005,-0.005,40400,32734,16932,SL-149,-0.0559865471,0.005689375799999999,up,down
752,758,31,3,0,0,1,4,2,0,0,0,12600000000,-12200000000,0,0,-400000000,0,0,0,0,0,2017-05-19,SL-149,17.101369863,2011,6069,0.001,10,25,0.41,0.415,-0.005,0.005,40400,32734,16932,SL-149,-0.0594055944,-0.0800853737,up,up
758,764,16,2,0,0,12,7,0,0,0,0,-4500000000,0,0,0,1500000000,3000000000,0,0,0,0,2017-06-07,SL-149,17.0493150685,2017,5475,-0.006999999999999999,10,25,0.385,0.39,-0.005,-0.005,40400,32734,16932,SL-149,-0.065,0.0099480564,up,down
759,765,16,2,0,0,12,7,0,0,0,0,-4500000000,0,0,0,1500000000,3000000000,0,0,0,0,2017-06-07,SL-149,17.0493150685,2017,5475,-0.006999999999999999,10,25,0.385,0.39,-0.005,-0.005,40400,32734,16932,SL-149,-0.065,0.0099480564,up,down
760,766,2,3,0,0,10,0,3,0,0,0,-2700000000,1100000000,0,0,1700000000,0,-100000000,0,0,0,2017-05-31,SL-149,17.0684931507,2019,7279,0.003,10,25,0.385,0.381,0.004,-0.019,40400,32734,16932,SL-149,-0.07,0.0099597648,up,down
761,767,6,5,0,0,1,2,0,0,0,0,-3900000000,3600000000,0,0,2500000000,-2200000000,0,0,0,0,2017-05-26,SL-150,17.3342465753,2006,4580,-0.01,10,25,0.41100000000000003,0.405,0.006,-0.005,38530,32797,13151,SL-150,-0.0758211144,0.0098361849,up,down
762,768,2,2,0,0,2,2,0,0,0,0,1500000000,-1500000000,0,0,0,0,0,0,0,0,2017-05-19,SL-150,17.3534246575,2011,6069,0.001,10,25,0.429,0.434,-0.005,0.009000000000000001,38530,32797,13151,SL-150,-0.08971910109999999,0.009866102199999999,up,down
768,774,2,2,0,0,6,4,0,0,0,0,100000000,1000000000,0,0,-600000000,-500000000,0,0,0,0,2017-06-07,SL-150,17.301369862999998,2017,5475,-0.006999999999999999,10,25,0.4,0.41,-0.01,-0.005,38530,32797,13151,SL-150,-0.06777777780000001,0.0092977605,up,down
769,775,2,2,0,0,6,4,0,0,0,0,100000000,1000000000,0,0,-600000000,-500000000,0,0,0,0,2017-06-07,SL-150,17.301369862999998,2017,5475,-0.006999999999999999,10,25,0.4,0.41,-0.01,-0.005,38530,32797,13151,SL-150,-0.06777777780000001,0.0092977605,up,down
772,778,9,1,0,0,7,6,3,0,0,0,1800000000,-1900000000,0,0,5100000000,-3800000000,-1200000000,0,0,0,2017-05-19,SL-151,17.602739726,2011,6069,0.001,10,25,0.449,0.45399999999999996,-0.005,0.009000000000000001,39555,32982,19568,SL-151,-0.0714326648,-0.07049423390000001,up,up
