,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
1416,1428,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-24,307,2.8273972602999997,2805,12807,0.009000000000000001,1,3,-0.14300000000000002,-0.139,-0.004,-0.009000000000000001,25085,20116,8421,307,-0.1043820225,0.01,stay,up
1417,1429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-22,307,2.8383561644,2812,10810,-0.001,1,3,-0.13,-0.136,0.006,0.009000000000000001,25085,20116,8421,307,-0.095,0.0073406114,down,up
1434,1446,2,1,1,0,2,0,0,0,0,0,0,5000000000,-5000000000,0,0,0,0,0,0,0,2017-05-22,5Y-113,1.0876712329,2812,10810,-0.001,1,3,-0.165,-0.17,0.005,0.01,62023,49254,42541,5Y-113,-0.01,-0.0270606827,up,up
1442,1454,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-24,5Y-114,1.3287671233,2805,12807,0.009000000000000001,1,3,-0.175,-0.17,-0.005,-0.01,27192,24660,14690,5Y-114,0.005,0.0096573876,up,up
1444,1456,2,0,0,0,1,0,0,0,0,0,200000000,0,0,0,-200000000,0,0,0,0,0,2017-05-17,5Y-114,1.3479452055,2804,11013,0.006999999999999999,1,3,-0.18,-0.185,0.005,0.004,27192,24660,14690,5Y-114,-0.095,0.0099259259,up,up
1461,1473,2,0,0,0,9,2,0,0,0,0,6200000000,0,0,0,-10900000000,4700000000,0,0,0,0,2017-05-22,5Y-116,1.5890410959,2812,10810,-0.001,1,3,-0.165,-0.17,0.005,0.01,81984,74807,54897,5Y-116,-0.09394187779999999,0.0048851103,up,up
1467,1479,2,0,0,0,6,1,0,0,0,0,-3000000000,0,0,0,5000000000,-2000000000,0,0,0,0,2017-06-09,5Y-116,1.5342465753,2801,4911,-0.008,1,3,-0.125,-0.15,0.025,0.005,81984,74807,55472,5Y-116,-0.0679166667,0.0053597027,down,up
1471,1483,2,1,0,0,6,4,0,0,0,0,-4500000000,4500000000,0,0,0,0,0,0,0,0,2017-05-17,5Y-117,1.8438356163999998,2804,11013,0.006999999999999999,1,3,-0.18,-0.185,0.005,0.004,92891,73841,57308,5Y-117,-0.01,-0.0172881356,up,up
1477,1489,2,4,0,0,14,4,0,0,0,0,-2800000000,0,0,0,-11200000000,14000000000,0,0,0,0,2017-05-31,5Y-117,1.8054794521,2801,8916,0.006,1,3,-0.17,-0.17,0.0,0.0,92891,73841,58021,5Y-117,-0.080990991,0.0024795301,down,up
1478,1490,2,2,0,0,3,2,2,0,0,0,-500000000,0,0,0,100000000,400000000,0,0,0,0,2017-05-24,5Y-118,2.0767123288,2805,12807,0.009000000000000001,1,3,-0.159,-0.155,-0.004,-0.01,55873,49074,35411,5Y-118,-0.0787635756,0.0091210887,down,up
1486,1498,3,2,0,0,4,1,2,0,0,0,23000000000,-22500000000,0,0,0,-500000000,0,0,0,0,2017-05-31,5Y-118,2.0575342466,2801,8916,0.006,1,3,-0.154,-0.155,0.001,0.0,55873,49074,35411,5Y-118,-0.0713043478,0.01,down,up
1487,1499,9,2,0,0,14,7,0,0,0,0,3500000000,0,0,0,-1000000000,-2500000000,0,0,0,0,2017-05-24,5Y-119,2.0767123288,2805,12807,0.009000000000000001,1,3,-0.159,-0.155,-0.004,-0.01,26984,24589,12735,5Y-119,-0.0386363636,0.0052407069,up,up
1489,1501,4,1,0,0,6,6,0,0,0,0,14100000000,-14000000000,0,0,0,-100000000,0,0,0,0,2017-05-17,5Y-119,2.095890411,2804,11013,0.006999999999999999,1,3,-0.165,-0.16899999999999998,0.004,-0.001,26984,24589,12735,5Y-119,-0.105,0.0092307692,down,up
1495,1507,4,5,0,0,11,6,0,0,0,0,3800000000,-1000000000,0,0,-9800000000,7000000000,0,0,0,0,2017-05-31,5Y-119,2.0575342466,2801,8916,0.006,1,3,-0.154,-0.155,0.001,0.0,26984,24589,12735,5Y-119,-0.09556338029999999,-0.0395592705,down,up
1497,1509,2,0,0,0,1,1,0,0,0,0,0,0,0,0,-2500000000,2500000000,0,0,0,0,2017-05-22,5Y-120,2.3397260274,2812,10810,-0.001,1,3,-0.145,-0.15,0.005,0.005,56775,49450,28933,5Y-120,-0.09,0.0098245907,stay,up
1506,1518,1,0,0,0,9,13,0,0,0,0,100000000,0,0,0,-2350000000,2250000000,0,0,0,0,2017-05-22,5Y-121,2.3397260274,2812,10810,-0.001,1,3,-0.145,-0.15,0.005,0.005,29965,24553,17202,5Y-121,-0.16,-0.16422297300000002,up,up
1512,1524,2,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-09,5Y-121,2.2849315068,2801,4911,-0.008,1,3,-0.114,-0.135,0.021,0.004,29965,24553,17202,5Y-121,-0.15,-0.0119434629,up,up
