,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,195,17.8109589,2002,6225,0.005,10,25,0.315,0.315,0,-0.005,4007,4007,1321,195,-0.11,0.01,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,195,17.8109589,2009,4236,-0.005,10,25,0.34,0.335,0.005,-0.02,4007,4007,1231,195,-0.11,0.01,1,1
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,195,16.29315068,2009,4992,-0.017,10,25,0.325,0.33,-0.005,-0.005,4007,4007,1231,195,-0.11,0.01,1,1
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,16.29863014,2017,5475,-0.007,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,195,-0.11,0.01,1,1
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,16.29863014,2017,5475,-0.007,10,25,0.335,0.34,-0.005,-0.005,4007,4007,1231,195,-0.11,0.01,1,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,17.60273973,2006,4222,0.01,10,25,0.33,0.33,0,0.005,3995,3995,1904,19,-0.102,-0.105,1,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,17.60273973,2002,6225,0.005,10,25,0.33,0.33,0,-0.005,3995,3995,1904,19,-0.102,-0.105,1,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,17.60273973,2009,4236,-0.005,10,25,0.355,0.35,0.005,-0.02,3995,3995,539,19,-0.102,-0.105,1,1
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,16.54246575,2009,4992,-0.017,10,25,0.34,0.345,-0.005,-0.005,3995,3995,539,19,-0.102,-0.105,1,0
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16.54794521,2017,5475,-0.007,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,19,-0.102,0.01,1,1
22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16.54794521,2017,5475,-0.007,10,25,0.35,0.355,-0.005,-0.005,3995,3995,539,19,-0.102,0.01,1,1
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,245,16.7369863,2006,4222,0.01,10,25,0.335,0.335,0,0.005,4998,4998,1703,245,-0.113252841,-0.110674716,1,1
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,245,16.75068493,2002,6225,0.005,10,25,0.335,0.335,0,-0.006,4998,4998,1703,245,-0.113252841,-0.110674716,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,245,18.42465753,2009,4236,-0.005,10,25,0.36,0.355,0.005,-0.02,4998,4998,1447,245,-0.113252841,-0.110674716,1,1
26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,245,16.7890411,2009,4992,-0.017,10,25,0.345,0.35,-0.005,-0.005,4998,4998,1447,245,-0.113252841,-0.110674716,1,0
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16.79452055,2017,5475,-0.007,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,245,-0.113252841,-0.030568182,1,1
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,16.79452055,2017,5475,-0.007,10,25,0.355,0.36,-0.005,-0.005,4998,4998,1447,245,-0.113252841,-0.030568182,1,1
