,Unnamed: 0,Unnamed: 0.1,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
22,212,216,2,0,0,0,5,2,0,0,0,0,-6600000000,0,0,0,2900000000,3700000000,0,0,0,0,2,249,23.3369863014,2006,4580,-0.01,10,25,0.605,0.6,0.005,-0.005,26890,22026,3079,249,-0.0804761905,0.0007363420000000001,0,1
269,1338,1350,1,0,0,0,11,12,0,0,0,0,900000000,0,0,0,1700000000,-2600000000,0,0,0,0,7,38,1.8273972603,2804,11013,0.006999999999999999,1,3,-0.18,-0.185,0.005,0.005,23738,20875,9099,38,-0.09271493210000001,0.00187,0,0
52,483,488,10,0,0,0,1,1,0,0,0,0,0,0,0,0,-4000000000,4000000000,0,0,0,0,2,261,13.328767123299999,2006,4580,-0.01,10,25,0.2,0.195,0.005,-0.005,23619,20100,8718,261,-0.08,0.01,0,0
411,1988,2000,4,0,0,0,13,14,4,0,0,0,6300000000,0,0,0,-300000000,-4000000000,-2000000000,0,0,0,13,0,7.5808219178,4506,10921,0.006,5,10,-0.035,-0.04,0.005,-0.005,51505,43805,38140,0,-0.0907013301,0.0058033479,0,0
340,1691,1703,2,2,0,0,0,6,0,0,0,0,5000000000,-5000000000,0,0,0,0,0,0,0,0,11,39,4.5342465753,3003,6580,-0.012,3,5,-0.095,-0.109,0.014,0.0,24319,19991,6262,39,-0.022084900600000002,0.0085898768,0,0
219,1037,1046,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1700000000,-1700000000,0,0,0,0,3,134,28.556164383600002,1003,2379,-0.004,25,-1,0.725,0.735,-0.01,-0.005,26454,21926,17736,134,-0.0788095238,0.0099254388,0,0
481,2454,2473,2,1,0,0,0,0,0,0,0,0,5000000000,-5000000000,0,0,0,0,0,0,0,0,4,260,0.8356164384,702,5772,0.042,-1,1,-0.16899999999999998,-0.173,0.004,0.001,31010,24647,17758,260,-0.075,0.01,0,2
160,802,808,2,3,0,0,4,1,0,0,0,0,13600000000,-11500000000,0,0,-1600000000,-500000000,0,0,0,0,9,256,18.369863013699998,2013,3930,0.003,10,25,0.49,0.485,0.005,0.01,37666,32859,18933,256,-0.06727109519999999,0.0081769131,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160,15.8273972603,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,3998,3998,2268,160,-0.105,0.01,0,2
239,1149,1159,2,0,0,0,1,3,2,0,0,0,0,0,0,0,500000000,-500000000,0,0,0,0,4,139,37.860273972600005,1005,4115,-0.006999999999999999,25,-1,0.895,0.9,-0.005,0.01,21847,19983,11633,139,-0.1,0.0098266506,0,0
354,1743,1755,0,0,0,0,25,30,6,0,0,0,0,0,0,0,300000000,-1200000000,900000000,0,0,0,13,262,3.8246575342,3005,11289,0.006999999999999999,3,5,-0.145,-0.145,0.0,-0.011,81832,66585,68972,262,-0.1424944715,-0.079518235,0,0
289,1416,1428,1,6,0,0,7,5,0,0,0,0,24200000000,-10000000000,0,0,-39500000000,25300000000,0,0,0,0,15,277,2.8054794521,2801,8916,0.006,1,3,-0.14400000000000002,-0.14400000000000002,0.0,-0.005,46867,40112,20328,277,-0.03,0.0055526706,0,0
135,752,758,28,3,0,0,2,1,2,0,0,0,700000000,-800000000,0,0,0,100000000,0,0,0,0,4,47,17.098630137,2011,6069,0.001,10,25,0.41,0.415,-0.005,0.005,40400,32734,16932,47,-0.059405594400000004,-0.0800853737,0,0
313,1606,1618,2,3,1,0,8,1,0,0,0,0,6000000000,-4000000000,4000000000,0,-11000000000,5000000000,0,0,0,0,15,259,3.0575342466000004,3004,9144,0.006,3,5,-0.135,-0.135,0.0,-0.005,47072,40137,22476,259,-0.01,0.01,0,0
468,2363,2380,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,189,9.3260273973,4507,11463,-0.009000000000000001,5,10,0.03,0.025,0.005,-0.005,17544,14722,4853,189,0.0,0.0092241045,0,1
13,163,167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,183,20.301369862999998,2017,5475,-0.006999999999999999,10,25,0.51,0.52,-0.01,-0.005,12617,10946,1433,183,-0.07,0.01,0,2
83,637,643,2,3,0,0,2,2,0,0,0,0,-3800000000,3800000000,0,0,1000000000,-1000000000,0,0,0,0,9,11,15.1178082192,2013,3930,0.003,10,25,0.295,0.29,0.005,0.01,12659,10982,3312,11,-0.07166666669999999,-0.0664720914,0,1
380,1893,1905,4,0,0,0,13,5,0,0,0,0,20500000000,0,0,0,-25000000000,4500000000,0,0,0,0,7,135,5.597260274,4510,12335,0.002,5,10,-0.105,-0.105,0.0,-0.005,52050,42739,8640,135,-0.0002479711,0.0097952404,0,0
237,1138,1148,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,247,35.8273972603,1003,3253,0.002,25,-1,0.795,0.785,0.01,-0.02,17698,15978,9175,247,-0.08,-0.1164516129,0,1
469,2378,2396,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9.5753424658,4507,11463,-0.009000000000000001,5,10,0.04,0.035,0.005,-0.005,25684,21859,8144,9,-0.075,0.01,0,2
423,2025,2037,9,0,0,0,35,21,4,0,0,0,15200000000,0,0,0,-22500000000,7300000000,0,0,0,0,3,224,8.2931506849,4505,10517,-0.006,5,10,-0.015,-0.015,0.0,0.0,80589,65440,68278,224,-0.0989756944,0.007703827000000002,0,1
323,1640,1652,3,1,0,0,1,10,1,0,0,0,37800000000,-37800000000,0,0,100000000,0,-100000000,0,0,0,11,89,3.7808219178,3003,6580,-0.012,3,5,-0.105,-0.12,0.015,0.0,48512,40040,13328,89,-0.0041363212,0.0055476038,0,0
419,2015,2027,15,0,0,0,21,9,0,0,0,0,-8200000000,0,0,0,20700000000,-12500000000,0,0,0,0,3,147,8.0410958904,4505,10517,-0.006,5,10,-0.025,-0.025,0.0,0.0,81759,65568,57624,147,-0.07020072990000001,0.0091834165,0,1
380,1893,1905,4,0,0,0,13,5,0,0,0,0,20500000000,0,0,0,-25000000000,4500000000,0,0,0,0,7,135,5.597260274,4510,12335,0.002,5,10,-0.105,-0.105,0.0,-0.005,52050,42739,8640,135,-0.0002479711,0.0097952404,0,0
340,1691,1703,2,2,0,0,0,6,0,0,0,0,5000000000,-5000000000,0,0,0,0,0,0,0,0,11,39,4.5342465753,3003,6580,-0.012,3,5,-0.095,-0.109,0.014,0.0,24319,19991,6262,39,-0.022084900600000002,0.0085898768,0,0
421,2017,2029,2,0,0,0,27,13,3,0,0,0,-500000000,0,0,0,-3000000000,3500000000,0,0,0,0,13,224,8.3315068493,4506,10921,0.006,5,10,-0.005,-0.015,0.01,-0.005,80589,65440,68152,224,-0.0819318182,-0.0015831518,0,0
400,1948,1960,2,2,0,0,18,51,4,0,0,0,10800000000,4800000000,0,0,10900000000,-17200000000,-9300000000,0,0,0,2,151,6.5726027397000015,4507,11463,-0.009000000000000001,5,10,-0.075,-0.08,0.005,-0.005,78244,65491,41896,151,-0.0752830189,-0.0019926550000000003,0,0
460,2243,2257,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,7.8219178082,4507,11463,-0.009000000000000001,5,10,-0.02,-0.025,0.005,-0.005,6551,5992,1685,14,-0.01,0.01,0,2
181,849,855,4,4,1,0,12,12,0,0,0,0,-121900000000,7600000000,127800000000,0,-18600000000,5100000000,0,0,0,0,2,207,19.5835616438,2006,4580,-0.01,10,25,0.561,0.555,0.006,-0.005,37182,29768,5554,207,-0.0831142857,-0.05692464570000001,0,1
166,817,823,14,1,0,0,3,4,0,0,0,0,44600000000,-45000000000,0,0,1500000000,-1100000000,0,0,0,0,3,80,18.5479452055,2017,5475,-0.006999999999999999,10,25,0.48,0.49,-0.01,-0.005,40742,32756,14790,80,-0.065,0.0085358255,0,1
398,1940,1952,3,0,0,0,29,4,5,0,0,0,33000000000,0,0,0,-43100000000,-4500000000,14600000000,0,0,0,7,151,6.597260274,4510,12335,0.002,5,10,-0.085,-0.085,0.0,-0.005,78244,65491,41896,151,-0.0956410256,0.0093719608,0,0
308,1525,1537,2,3,0,0,4,4,0,0,0,0,-20000000000,20000000000,0,0,0,0,0,0,0,0,15,92,2.5561643836,2801,8916,0.006,1,3,-0.149,-0.15,0.001,-0.005,88563,74413,66664,92,-0.0884375,0.009609375,0,1
