,Unnamed: 0,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x.1,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
855,878,2,4,0,0,11,12,0,0,0,0,0.0,0.0,0,0,6500000000.0,-6500000000.0,0,0.0,0,0,2,240,1.849315069,2801,4911,-0.008,1,3,-0.12,-0.145,0.025,0.005,22771,19882,2411,240,-0.068726415,-0.029268867999999996,2,2
856,879,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,64,1.8602739730000002,2807,8563,0.005,1,3,-0.205,-0.21,0.005,0.005,21430,17345,5445,64,-0.022939959,-0.089772257,0,1
857,880,3,1,0,0,0,0,0,0,0,0,21000000000.0,-500000000.0,0,0,0.0,0.0,0,0.0,0,0,6,64,1.726027397,2802,7575,-0.009000000000000001,1,3,-0.105,-0.105,0.0,-0.001,21430,17345,11560,64,-0.032731377,0.1,0,2
858,881,0,1,0,0,0,1,0,0,0,0,0.0,500000000.0,0,0,0.0,-5000000000.0,0,0.0,0,0,9,64,1.739726027,2805,9329,0.001,1,3,-0.105,-0.114,0.009000000000000001,0.006,21430,17345,11560,64,-0.032731377,-0.1,1,0
859,882,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,-50000000000,0.0,0.0,0,0.0,0,0,4,64,1.74520548,2801,10792,0.006999999999999999,1,3,-0.12,-0.12,0.0,-0.001,21430,17345,11560,64,-0.029411765,-0.1,1,0
860,883,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,8,64,3.542465753,3007,9577,-0.008,3,5,-0.114,-0.114,0.0,-0.004,21430,17345,5643,64,-0.040308748,-0.10192307699999999,0,0
861,884,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,2,64,1.7780821919999998,2801,4911,-0.008,1,3,-0.12,-0.145,0.025,0.005,21430,17345,5643,64,-0.047411095,-0.061123755,0,0
862,885,4,0,0,0,0,3,0,0,0,0,7000000000.0,0.0,0,0,0.0,-7000000000.0,0,0.0,0,0,0,78,2.1123287669999997,2807,8563,0.005,1,3,-0.188,-0.19399999999999998,0.006,0.006,42441,36567,16719,78,-0.06197245,-0.09243552199999999,2,1
863,886,0,1,0,0,0,0,0,0,0,0,0.0,-50000000000.0,0,0,0.0,0.0,0,0.0,0,0,6,78,1.9780821919999998,2802,7575,-0.009000000000000001,1,3,-0.1,-0.1,0.0,-0.001,42441,36567,8030,78,-0.061001698,-0.070320334,0,0
864,887,0,1,0,0,0,5,0,0,0,0,0.0,50000000000.0,0,0,0.0,-21000000000.0,0,0.0,0,0,9,78,1.991780822,2805,9329,0.001,1,3,-0.1,-0.11,0.01,0.005,42441,36567,8030,78,-0.060231788,-0.070320334,1,0
